Product,Varientid,Product_Title,Description,Type,Vendor,Tags,Weight,SKU,Processing_time,Slug,Price,Compare_price,Cost,Quantity,Recommended_price,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value",Category,"Variant Barcode",Images
1819,1846,"Blessed, Hope, Faith, and Love Cross Key Chains","<p>This sterling silver plated key chain has a square charm with","Wholesale Merchandise Shop","Fundraising For A Cause","clearance_Yes, color_Silver, Generic, GiftOption_Yes, Key Chains, Overstocks, Overstocks: Jewelry, Overstocks: Key Chains, product-type_Key Chains, Religious - Wholesale, shape_Cross, Wholesa",0.01800761709,RE-K-05-R,,blessed-hope-faith-and-love-cross-key-chains,2.25,,2.25,500,8.99,"Package Quantity","1 Keychain",,,,,Religious,'849228006704,202105181457blessed-hope-faith-and-love-cross-key-chains84683750.jpg
1820,1847,"School Bus Key Chain","This teacher appreciation key chain is a silver charm in the shape of a school bus with the words ""School Bus"" on it on a horseshoe style key ring. The key ring is 1 1/4 inches in diameter and the charm is 1/2 inch tall by 3/4 inch wide.</p>","Wholesale Merchandise Shop",vendor-unknown,"clearance_No, color_Silver, Generic, GiftOption_Yes, Key Chains, product-type_Key Chains, shape_School Bus, Teacher/School - Retail, walmart, Wholesale Merchandise Shop: Gift Shop (Buy Just 1",0.045359237,RE-K-05-TS,,school-bus-key-chain-1-key-chain-retail,2.25,,2.25,500,8.99,Title,"Default Title",,,,,,'849228098105,202105181457school-bus-key-chain-1-key-chain-retail377694593.jpg
1821,1848,"Music Note Key Chain","<p>This sterling silver plated key chain has an adorable charm in the shape of a music note on a horseshoe style key ring. Great gift for someone who just made the marching band or orchestra or for any music lover. The charm is 3/4 inch tall by 1/2 inch wide.</p>","Wholesale Merchandise Shop",vendor-unknown,"clearance_No, color_Silver, Generic, GiftOption_Yes, Key Chains, Music - Retail, product-type_Key Chains, shape_Music Note, walmart, Wholesale Merchandise Shop: Gift Shop (Buy Just 1)-45",0.045359237,RE-K-06-MU,,music-note-key-chain-1-key-chain-retail,2.25,,2.25,9,8.99,Title,"Default Title",,,,,Music/Band,'849228072624,202105181457music-note-key-chain-1-key-chain-retail419345374.jpg
1822,1849,"I Love Basketball Key Chain","<p>This basketball key chain has a silver charm that says ""I Love Basketball"" with a basketball on a horseshoe style key ring. Great gift for someone who just made the basketball team. The key ring is 1 1/4 inches in diameter and the charm is 3/4 inch tall by 1 inch wide.</p>","Wholesale Merchandise Shop",vendor-unknown,"Basketball, clearance_No, color_Silver, GiftOption_Yes, Key Chains, product-type_Key Chains, shape_Basketball, Sports - Retail, walmart, Wholesale Merchandise Shop: Gift Shop (Buy Just 1)-43",0.045359237,RE-K-07-SPBK,,i-love-basketball-key-chain-1-key-chain-retail,2.25,,2.25,499,8.99,Title,"Default Title",,,,,Sports,'849228073850,202105181457i-love-basketball-key-chain-1-key-chain-retail175803244.jpg
1823,1850,"Cheerleading Pom Poms and Megaphone Key Chains","<p>This cheerleader key chain has an adorable silver charm with cheerleading megaphone and pom poms and the word ""CHEER"" in black letters on a horseshoe style key ring. Great gift for someone who just made the cheerleading squad. The key ring is 1 1/4 inches in diameter and the charm is 3/4 inch tall by 7/8 inch wide.</p>","Wholesale Merchandise Shop",vendor-unknown,"Cheerleading, clearance_No, color_Silver, GiftOption_Yes, Key Chains, product-type_Key Chains, shape_Megaphone, Sports - Wholesale, Wholesale Merchandise Shop, Wholesale Merchandise Shop: All",0.045359237,RE-K-08-SPCH,,cheerleading-pom-poms-and-megaphone-key-chains,2.25,,2.25,500,8.99,Title,"Default Title",,,,,Sports,'849228073997,202105181457cheerleading-pom-poms-and-megaphone-key-chains328591792.jpg
1824,1851,"I Love My Teacher Heart Key Chain","This teacher appreciation key chain is a silver heart charm with the words ""I Love My Teacher"" and a red heart on a horseshoe style key ring. The <span style=""background-color: initial;"">key ring is 1 1/4 inches in diameter and the charm is 3/4 inch by 3/4 inch.</p>","Wholesale Merchandise Shop",vendor-unknown,"clearance_No, color_Silver, Generic, GiftOption_Yes, Key Chains, product-type_Key Chains, shape_Heart, Teacher/School - Retail, walmart, Wholesale Merchandise Shop: Gift Shop (Buy Just 1)-48",0.045359237,RE-K-08-TS,,i-love-my-teacher-heart-key-chain-1-key-chain-retail,2.25,,2.25,500,8.99,Title,"Default Title",,,,,Teacher/School,'849228098129,202105181457i-love-my-teacher-heart-key-chain-1-key-chain-retail173263877.jpg
1825,1852,"Cheerleading Megaphone Key Chain","<p>This sterling silver plated key chain has an adorable charm in the shape of a cheerleading megaphone with the word ""CHEER"" in bold black letters on a horseshoe style key ring. Great gift for someone who just made the cheerleader squad. The key ring is 1 1/4 inches in diameter and the charm is 1/2 inch tall by 1 inch wide.</p>","Wholesale Merchandise Shop",vendor-unknown,"Cheerleading, clearance_No, color_Silver, GiftOption_Yes, Key Chains, product-type_Key Chains, shape_Megaphone, Sports - Retail, walmart, Wholesale Merchandise Shop: Gift Shop (Buy Just 1)-43",0.045359237,RE-K-09-SPCH,,cheerleading-megaphone-key-chain-1-key-chain-retail,2.25,,2.25,499,8.99,Title,"Default Title",,,,,Sports,'849228057775,202105181457cheerleading-megaphone-key-chain-1-key-chain-retail441575613.jpg
1826,1853,"Teachers ABC Letter with Apple Charm Key Chain","This teacher appreciation key chain is an adorable silver charm with the letters ""ABC"" and a small apple above the letters on a horseshoe style key ring. The <span style=""background-color: initial;"">key ring is 1 1/4 inches in diameter and the charm is 5/8 inch tall by 5/8 inch wide.</span>","Wholesale Merchandise Shop",vendor-unknown,"clearance_No, color_Silver, Generic, GiftOption_Yes, Key Chains, product-type_Key Chains, shape_Words, Teacher/School - Retail, walmart, Wholesale Merchandise Shop: Gift Shop (Buy Just 1)-48",0.045359237,RE-K-09-TS,,abc-key-chain-1-key-chain-retail,2.25,,2.25,500,8.99,Title,"Default Title",,,,,Teacher/School,'849228098143,202105181457abc-key-chain-1-key-chain-retail6226084.jpg
1827,1854,"I Love My Rescue Dog Key Chain","<p>This sterling silver plated key chain has a heart charm that","Wholesale Merchandise Shop",vendor-unknown,"Animal - Retail, clearance_No, color_Silver, Generic, GiftOption_Yes, Key Chains, product-type_Key Chains, shape_Heart, walmart, Wholesale Merchandise Shop: Gift Shop (Buy Just 1)-14, Wholesa",0.045359237,RE-K-10-P,,i-love-my-rescue-dog-key-chain,2.25,,2.25,999,8.99,Title,"Default Title",,,,,Animal,'8945091239071,202105181457i-love-my-rescue-dog-key-chain438706720.jpg
1828,1855,"Love To Cheer Key Chain","<p>This cheerleading key chain has a silver charm with a megaphone and heart and the words ""To Cheer"" on a horseshoe style key ring. Great gift for your favorite cheerleader. The key ring is 1 1/4 inches in diameter and the charm is 7/8 inch tall by 7/8 inch wide.</p>","Wholesale Merchandise Shop",vendor-unknown,"Cheerleading, clearance_No, color_Silver, GiftOption_Yes, Key Chains, product-type_Key Chains, shape_Words, Sports - Retail, walmart, Wholesale Merchandise Shop: Gift Shop (Buy Just 1)-43",0.045359237,RE-K-10-SPCH,,love-to-cheer-key-chain-1-key-chain-retail,2.25,,2.25,500,8.99,Title,"Default Title",,,,,Sports,'849228074079,202105181457love-to-cheer-key-chain-1-key-chain-retail398878912.jpg
