Product,Varientid,Product_Title,Description,Type,Vendor,Tags,Weight,SKU,Processing_time,Slug,Price,Compare_price,Cost,Quantity,Recommended_price,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Category,Variant Barcode
674,675,Silver Open Heart Leather Cord Bracelet,<p>This leather cord heart charm bracelet features a floating silver open heart charm on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charm is 7/8 inch by 7/8 inch. </p>,Wholesale Merchandise Shop,vendor-unknown,"bracelet-style_Charm, bracelet-style_Cord, Bracelets, clearance_No, color_Silver, Generic, GiftOption_Yes, Heart - Retail, product-type_Bracelets, walmart, Wholesale Merchandise Shop: Bracele,Bo��te Musique",0.045359237,RE-BC-HRT,,silver-open-heart-leather-cord-bracelet-1-bracelet-retail,2.25,,2.25,500,12.99,Title,Default Title,,,,,Silver Ribbon,8945091222172
675,676,Down Syndrome Awareness Black Cord Bracelet,"<p>This Down syndrome awareness bracelet features a silver heart charm with a blue and yellow ribbon and the words ""Down Syndrome Awareness"" on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charm is 5/8 inch by 5/8 inch. </p>",Wholesale Merchandise Shop,vendor-unknown,"Blue & Yellow Ribbon - Retail, bracelet-style_Charm, bracelet-style_Cord, Bracelets, clearance_No, color_Blue-Yellow, Down Syndrome, GiftOption_Yes, product-type_Bracelets, walmart, Wholesale ,Bo��te Musique",0.045359237,RE-BC-HRT-10DS,,down-syndrome-awareness-black-cord-bracelet-1-bracelet-retail,2.25,,2.25,999,12.99,Title,Default Title,,,,,,849228090673
676,677,Childhood Cancer Awareness Heart Leather Bracelet,"<p>This gold ribbon bracelet features a silver heart charm with a gold ribbon and the words ""Childhood Cancer Awareness"" on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charm is 5/8 inch by 5/8 inch. </p>",Wholesale Merchandise Shop,vendor-unknown,"bracelet-style_Charm, bracelet-style_Cord, Bracelets, Childhood Cancer, clearance_No, color_Gold, GiftOption_Yes, Gold Ribbon - Retail, product-type_Bracelets, walmart, Wholesale Merchandise,Bo��te Musique",0.045359237,RE-BC-HRT-11CC,,childhood-cancer-awareness-heart-leather-bracelet-1-bracelet-retail,2.25,,2.25,999,12.99,Title,Default Title,,,,,Gold Ribbon,849228084030
677,678,Prostate Cancer Awareness Heart Leather Bracelet,"<p>This Prostate Cancer awareness charm bracelet features a silver heart charm with a light blue ribbon and the words ""Prostate Cancer Awareness"" on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charm is 5/8 inch by 5/8 inch. </p>",Wholesale Merchandise Shop,vendor-unknown,"bracelet-style_Charm, bracelet-style_Cord, Bracelets, clearance_No, color_Light Blue, GiftOption_Yes, Light Blue Ribbon - Retail, product-type_Bracelets, Prostate Cancer, walmart, Wholesale M,Bo��te Musique",0.045359237,RE-BC-HRT-12PC,,prostate-cancer-awareness-heart-leather-bracelet-1-bracelet-retail,2.25,,2.25,999,12.99,Title,Default Title,,,,,,849228090895
678,679,Cerebral Palsy Awareness Heart Leather Bracelet,"<p>This Cerebral Palsy awareness charm bracelet features a silver heart charm with a green ribbon and the words ""Cerebral Palsy Awareness"" on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charm is 5/8 inch by 5/8 inch. </p>",Wholesale Merchandise Shop,vendor-unknown,"bracelet-style_Charm, bracelet-style_Cord, Bracelets, Cerebral Palsy, clearance_No, color_Green, GiftOption_Yes, Green Ribbon - Retail, product-type_Bracelets, walmart, Wholesale Merchandise,Bo��te Musique",0.045359237,RE-BC-HRT-13CP,,cerebral-palsy-awareness-heart-leather-bracelet-1-bracelet-retail,2.25,,2.25,999,12.99,Title,Default Title,,,,,Green Ribbon,849228090918
679,680,Lung Cancer Awareness Black Cord Bracelets,"<p>This Lung Cancer awareness charm bracelet features a silver heart charm with a white ribbon and the words ""Lung Cancer Awareness"" on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charm is 5/8 inch by 5/8 inch. </p>",Wholesale Merchandise Shop,vendor-unknown,"bracelet-style_Charm, bracelet-style_Cord, Bracelets, clearance_No, color_White, GiftOption_Yes, Lung Cancer, Lung Cancer Awareness Ribbons, Lung Cancer Ribbon Bracelets, product-type_Bracele,Bo��te Musique",0.008981129,RE-BC-HRT-15LC,,lung-cancer-awareness-black-cord-bracelets,2.25,,2.25,500,12.99,Package Quantity,1 Bracelet,,,,,White Ribbon,849228089035
680,681,Breast Cancer Awareness Heart Leather Cord Bracelets,"<p>This breast cancer awareness charm bracelet features a silver heart charm with a pink ribbon and the words ""Breast Cancer Awareness"" on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charm is 5/8 inch by 5/8 inch. </p>",Wholesale Merchandise Shop,vendor-unknown,"Bracelets, Breast Cancer, clearance_No, color_Pink, GiftOption_Yes, Pink Ribbon - Wholesale, product-type_Bracelets, Wholesale Merchandise Shop, Wholesale Merchandise Shop: All Bracelets-2, w",0.008981129,RE-BC-HRT-1BC,,breast-cancer-awareness-heart-leather-cord-bracelets,2.25,,2.25,500,12.99,Package Quantity,1 Bracelet,,,,,Pink Ribbon,849228088144
681,682,Suicide Awareness Heart Leather Cord Bracelets,"<p>This Suicide Awareness charm bracelet features a silver heart charm with a teal and purple ribbon and the words ""Suicide Awareness."" The bracelet is created with minimal black leather cord and lobster clasp. The bracelet is 8 inches, and the sterling silver-plated charms are 5/8 inch by 5/8 inch.</p>",Wholesale Merchandise Shop,vendor-unknown,"bracelet-style_Charm, bracelet-style_Cord, Bracelets, clearance_No, color_Teal-Purple, GiftOption_Yes, product-type_Bracelets, Suicide Awareness, Teal & Purple Ribbon - Wholesale, Wholesale M",0.008981129,RE-BC-HRT-32SA,,pack-of-12-suicide-awareness-heart-leather-cord-bracelets-12-bracelets,2.25,,2.25,500,12.99,Package Quantity,1 Bracelet,,,,,,8945091228679
682,683,Semicolon Suicide Prevention Awareness Leather Bracelet,"<p>This Semicolon Suicide Prevention Awareness charm bracelet features a silver heart charm with a teal and purple semicolon. The bracelet is created with a minimal black leather cord and a lobster clasp. The bracelet is 8 inches, and the sterling silver-plated charm is 5/8 inch by 5/8 inch.</p>",Wholesale Merchandise Shop,vendor-unknown,"bracelet-style_Charm, bracelet-style_Cord, Bracelets, clearance_No, color_Teal-Purple, GiftOption_Yes, product-type_Bracelets, Suicide Awareness, Teal & Purple Ribbon - Retail, walmart, Whole",0.045359237,RE-BC-HRT-32SC,,semicolon-suicide-prevention-awareness-leather-bracelet,2.25,,2.25,999,12.99,Title,Default Title,,,,,,8945091238111
683,684,Ovarian Cancer Awareness Black Cord Bracelet,"<p>This teal ribbon bracelet features a silver heart charm with a teal ribbon and the words ""Ovarian Cancer Awareness"" on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charm is 5/8 inch by 5/8 inch. </p>",Ovarian Cancer Bracelets,vendor-unknown,"bracelet-style_Charm, bracelet-style_Cord, Bracelets, clearance_No, color_Teal, GiftOption_Yes, Ovarian Cancer, Ovarian Cancer Bracelets, Ovarian Cancer Merchandise, product-type_Bracelets, T",0.045359237,RE-BC-HRT-3OC,,ovarian-cancer-awareness-black-cord-bracelet-1-bracelet-retail,2.25,,2.25,999,12.99,Title,Default Title,,,,,Teal Ribbon,849228084658
684,685,Alzheimer's Awareness Heart Leather Cord Bracelets,"<p>This Alzheimer's disease awareness charm bracelet features a silver heart charm  with a purple ribbon and the words ""Alzheimer's Awareness"" on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charms are 5/8 inch by 5/8 inch. </p>",Wholesale Merchandise Shop,vendor-unknown,"Alzheimer's, Alzheimer's Awareness Ribbons, Alzheimer's Ribbon Bracelets, bracelet-style_Charm, bracelet-style_Cord, Bracelets, clearance_No, color_Purple, GiftOption_Yes, product-type_Bracel",0.008981129,RE-BC-HRT-4AL,,alzheimers-awareness-heart-leather-cord-bracelets,2.25,,2.25,500,12.99,Package Quantity,1 Bracelet,,,,,,849228090949
685,686,Cystic Fibrosis Awareness Black Cord Bracelet,"<p>This Cystic Fibrosis awareness bracelet features a silver heart charm with a purple ribbon and the words ""Cystic Fibrosis Awareness"" on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charm is 5/8 inch by 5/8 inch. </p>",Wholesale Merchandise Shop,vendor-unknown,"bracelet-style_Charm, bracelet-style_Cord, Bracelets, clearance_No, color_Purple, Cystic Fibrosis, GiftOption_Yes, product-type_Bracelets, Purple Ribbon - Retail, walmart, Wholesale Merchandi",0.045359237,RE-BC-HRT-4CF,,cystic-fibrosis-awareness-black-cord-bracelet-1-bracelet-retail,2.25,,2.25,999,12.99,Title,Default Title,,,,,,849228090697
686,687,Colitis Awareness Heart Leather Cord Bracelet,"<p>This Colitis awareness bracelet features a silver heart charm with a purple ribbon and the words ""Colitis Awareness"" on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charm is 5/8 inch by 5/8 inch. </p>",Wholesale Merchandise Shop,vendor-unknown,"bracelet-style_Charm, bracelet-style_Cord, clearance_No, color_Purple, GiftOption_Yes, product-type_Bracelets, walmart, Wholesale Merchandise Shop: Bracelets-11, Wholesale Merchandise Shop: G",0.045359237,RE-BC-HRT-4CO,,colitis-awareness-heart-leather-cord-bracelet-1-bracelet-retail,2.25,,2.25,500,12.99,Title,Default Title,,,,,Purple Ribbon,849228090970
687,688,Domestic Violence Awareness Heart Cord Bracelet,"<p>This Domestic Violence awareness bracelet features a silver heart charm with a purple ribbon and the words ""Domestic Violence"" on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charm is 5/8 inch by 5/8 inch. </p>",Wholesale Merchandise Shop,vendor-unknown,"bracelet-style_Charm, bracelet-style_Cord, Bracelets, clearance_No, color_Purple, Domestic Violence, GiftOption_Yes, product-type_Bracelets, Purple Ribbon - Retail, walmart, Wholesale Merchan",0.045359237,RE-BC-HRT-4DV,,domestic-violence-awareness-heart-cord-bracelet-1-bracelet-retail,2.25,,2.25,999,12.99,Title,Default Title,,,,,,849228091472
688,689,Epilepsy Awareness Heart Leather Cord Bracelets,"<p>This Epilepsy awareness charm bracelet features a silver heart charm  with a purple ribbon and the words ""Epilepsy Awareness"" on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charm is 5/8 inch by 5/8 inch. </p>",Wholesale Merchandise Shop,vendor-unknown,"bracelet-style_Charm, bracelet-style_Cord, Bracelets, clearance_No, color_Purple, Epilepsy, Epilepsy Awareness Bracelets, Epilepsy Awareness Ribbons, GiftOption_Yes, product-type_Bracelets, P",0.008981129,RE-BC-HRT-4EP,,epilepsy-awareness-heart-leather-cord-bracelets,2.25,,2.25,500,12.99,Package Quantity,1 Bracelet,,,,,Purple Ribbon,849228090987
689,690,Fibromyalgia Awareness Heart Leather Bracelet,"<p>This Fibromyalgia awareness bracelet features a silver heart charm with a purple ribbon and the words ""Fibromyalgia Awareness"" on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charm is 5/8 inch by 5/8 inch. </p>",Wholesale Merchandise Shop,vendor-unknown,"bracelet-style_Charm, bracelet-style_Cord, Bracelets, clearance_No, color_Purple, Fibromyalgia, GiftOption_Yes, product-type_Bracelets, Purple Ribbon - Retail, walmart, Wholesale Merchandise",0.045359237,RE-BC-HRT-4FB,,fibromyalgia-awareness-heart-leather-bracelet-1-bracelet-retail,2.25,,2.25,999,12.99,Title,Default Title,,,,,Purple Ribbon,849228091014
690,691,Lupus Awareness Heart Leather Cord Bracelet,"<p>This Lupus awareness bracelet features a silver heart charm with a purple ribbon and the words ""Lupus Awareness"" on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charm is 5/8 inch by 5/8 inch. </p>",Wholesale Merchandise Shop,vendor-unknown,"bracelet-style_Charm, bracelet-style_Cord, Bracelets, clearance_No, color_Purple, GiftOption_Yes, Lupus, product-type_Bracelets, Purple Ribbon - Retail, walmart, Wholesale Merchandise Shop: B",0.045359237,RE-BC-HRT-4LU,,lupus-awareness-heart-leather-cord-bracelet-1-bracelet-retail,2.25,,2.25,999,12.99,Title,Default Title,,,,,Purple Ribbon,849228091038
691,692,Kidney Cancer Awareness Heart Leather Cord Bracelets,"<p>This Kidney Cancer awareness charm bracelet  features a silver heart charm  with an orange ribbon and the words ""Kidney Cancer Awareness"" on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charm is  5/8 inch by 5/8 inch. </p>",Wholesale Merchandise Shop,vendor-unknown,"bracelet-style_Charm, bracelet-style_Cord, Bracelets, clearance_No, color_Orange, GiftOption_Yes, Kidney Cancer, Kidney Cancer Awareness Merchandise, Orange Ribbon - Wholesale, product-type_B",0.008981129,RE-BC-HRT-5KC,,kidney-cancer-awareness-heart-leather-cord-bracelets,2.25,,2.25,500,12.99,Package Quantity,1 Bracelet,,,,,Orange Ribbon,849228092592
692,693,Multiple Sclerosis Awareness Heart Leather Bracelets,"<p>These Multiple Sclerosis awareness charm bracelets feature silver heart charms with an orange ribbon and the words ""Multiple Sclerosis Awareness"" on a trendy black leather cord bracelet with a lobster clasp. The bracelets are 8 inches and the sterling silver plated charms are 5/8 inch by 5/8 inch. </p>",Wholesale Merchandise Shop,vendor-unknown,"bracelet-style_Charm, bracelet-style_Cord, Bracelets, clearance_No, color_Orange, GiftOption_Yes, Multiple Sclerosis, Multiple Sclerosis Awareness Bracelets, Multiple Sclerosis Awareness Ribb",0.008981129,RE-BC-HRT-5MS,,multiple-sclerosis-awareness-heart-leather-bracelets,2.25,,2.25,500,12.99,Package Quantity,1 Bracelet,,,,,Orange Ribbon,849228091045
693,694,Brain Cancer Awareness Heart Leather Bracelet,"<p>This Brain Cancer awareness bracelet features a silver heart charm with a gray ribbon and the words ""Brain Cancer Awareness"" on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charm is 5/8 inch by 5/8 inch. </p>",Wholesale Merchandise Shop,vendor-unknown,"bracelet-style_Charm, bracelet-style_Cord, Bracelets, Brain Cancer, clearance_No, color_Gray, GiftOption_Yes, Gray Ribbon - Retail, product-type_Bracelets, walmart, Wholesale Merchandise Shop",0.045359237,RE-BC-HRT-7BC,,brain-cancer-awareness-heart-leather-bracelet-1-bracelet-retail,2.25,,2.25,999,12.99,Title,Default Title,,,,,Gray Ribbon,849228091076
694,695,Colon Cancer Awareness Heart Leather Bracelet,"<p>This Colon Cancer awareness bracelet features a silver heart charm with a dark blue ribbon and the words ""Colon Cancer Awareness"" on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charm is 5/8 inch by 5/8 inch. </p>",Wholesale Merchandise Shop,vendor-unknown,"bracelet-style_Charm, bracelet-style_Cord, Bracelets, clearance_No, Colon Cancer, color_Dark Blue, Dark Blue Ribbon - Retail, GiftOption_Yes, product-type_Bracelets, walmart, Wholesale Mercha",0.045359237,RE-BC-HRT-8CC,,colon-cancer-awareness-heart-leather-bracelet-1-bracelet-retail,2.25,,2.25,495,12.99,Title,Default Title,,,,,Dark Blue Ribbon,849228091090
695,696,Non-Hodgkin's Lymphoma Heart Leather Bracelet,"<p>This Non-Hodgkin's Lymphoma awareness bracelet features a silver heart charm with a lime green ribbon and the words ""Non Hodgkin's Lymphoma"" on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charm is 5/8 inch by 5/8 inch. </p>",Wholesale Merchandise Shop,vendor-unknown,"bracelet-style_Charm, bracelet-style_Cord, Bracelets, clearance_No, color_Lime Green, GiftOption_Yes, Lime Green Ribbon - Retail, Non-Hodgkin's Lymphoma, product-type_Bracelets, walmart, Whol",0.045359237,RE-BC-HRT-9NL,,non-hodgkins-lymphoma-heart-leather-bracelet-1-bracelet-retail,2.25,,2.25,500,12.99,Title,Default Title,,,,,Lime Green Ribbon,849228091113
696,697,NO MORE Sexual Assault Black Cord Bracelets,"<p>These black cord NO MORE bracelets feature small round teal charms on trendy black leather cord bracelets with a lobster clasp. The circular NO MORE emblem unites all people, organizations and communities that together we can end domestic violence and sexual assault. The bracelets are 8 inches long and the sterling silver plated NO MORE charms are 1/2 inch in diameter. </p>",Wholesale Merchandise Shop,vendor-unknown,"bracelet-style_Charm, bracelet-style_Cord, Bracelets, clearance_No, color_Teal, Generic, GiftOption_Yes, No More - Wholesale, product-type_Bracelets, Wholesale Merchandise Shop, Wholesale Mer",0.008981129,RE-BC-NMP-01,,black-cord-no-more-sexual-assault-bracelets,2.25,,2.25,3,12.99,Package Quantity,1 Bracelet,,,,,No More,849228087697
697,698,Deaf Awareness Heart Charm Black Cord Bracelets,"<p>These black cord deaf awareness bracelets feature a silver heart charm with an image of the American Sign Language symbol for ""I Love You"" and a heart on the palm of the hand on a trendy black leather cord bracelet with a lobster clasp. The bracelets are 8 inches long and the sterling silver plated charms are 1 inch by 1 inch. </p>",Wholesale Merchandise Shop,vendor-unknown,"bracelet-style_Charm, bracelet-style_Cord, clearance_No, color_Silver, GiftOption_Yes, product-type_Bracelets, Wholesale Merchandise Shop, Wholesale Merchandise Shop: Bracelets-169, Wholesale ",0.008981129,RE-BC-P01-DF,,black-cord-deaf-awareness-heart-charm-bracelets,2.25,,2.25,500,12.99,Package Quantity,1 Bracelet,,,,,Deafness,849228079340
698,699,Silver Heart Leather Cord Bracelet,<p>This leather cord heart charm bracelet features a silver heart charm on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charm is 5/8 inch by 5/8 inch. </p>,Wholesale Merchandise Shop,vendor-unknown,"bracelet-style_Charm, bracelet-style_Cord, Bracelets, clearance_No, color_Silver, Generic, GiftOption_Yes, Heart - Retail, product-type_Bracelets, walmart, Wholesale Merchandise Shop: Bracele",0.045359237,RE-BC-P01S-HRT,,silver-heart-leather-cord-bracelet-1-bracelet-retail,2.25,,2.25,999,12.99,Title,Default Title,,,,,,8945091224695
699,700,Autism Colored Puzzle Piece Leather Cord Bracelets,<p>These autism awareness charm bracelets feature multicolored puzzle piece charms on a trendy black leather cord bracelet with a lobster clasp. The bracelets are 8 inches and the sterling silver plated charms are 3/4 inch by 3/4 inch.  </p>,Wholesale Merchandise Shop,vendor-unknown,"Autism - Wholesale, bracelet-style_Charm, bracelet-style_Cord, Bracelets, clearance_No, color_Multicolored, GiftOption_Yes, product-type_Bracelets, Puzzle Piece, Wholesale Merchandise Shop, w",0.008981129,RE-BC-P28-2,,autism-colored-puzzle-piece-leather-cord-bracelets,2.25,,2.25,500,12.99,Package Quantity,1 Bracelet,,,,,Autism Ribbon,849228062366
700,701,Round Autism Awareness Ribbon Leather Cord Bracelets,"<p>These autism awareness charm bracelets feature round silver charms with the words ""Autism Awareness"" and a multicolored autism ribbon on a trendy black leather cord bracelet with a lobster clasp. The bracelets are 8 inches and the sterling silver plated charms are 7/8 inch in diameter.  </p>",Wholesale Merchandise Shop,vendor-unknown,"Autism - Wholesale, bracelet-style_Charm, bracelet-style_Cord, Bracelets, clearance_No, color_Multicolored, Generic, GiftOption_Yes, product-type_Bracelets, Wholesale Merchandise Shop, Wholes",0.008981129,RE-BC-P35-2,,round-autism-awareness-ribbon-leather-cord-bracelets,2.25,,2.25,500,12.99,Package Quantity,1 Bracelet,,,,,Autism Ribbon,849228062328
